Land Use,Property Address,Sale Date,Sale Price,Acreage,Neighborhood,Land Value,Building Value,Total Value,Finished Area,Foundation Type,Year Built,Exterior Wall,Grade,Bedrooms,Full Bath,Half Bath,SaleDT
SINGLE FAMILY,3723  ESTES RD,2015-03-03,423000.0,0.39,3228,270000.0,104200.0,376900.0,1615.0,FULL BSMT,1945.0,BRICK,C   ,2.0,2.0,0.0,2015-03-03
SINGLE FAMILY,3723  NORMA DR,2015-04-27,128000.0,0.27,3131,18000.0,76300.0,94900.0,864.0,CRAWL,1952.0,FRAME,C   ,2.0,1.0,0.0,2015-04-27
SINGLE FAMILY,3723  WOODMONT LN,2015-09-25,626000.0,0.34,3228,270000.0,143000.0,413000.0,2940.0,CRAWL,1942.0,BRICK,C   ,4.0,2.0,1.0,2015-09-25
SINGLE FAMILY,3724  ASHEFORD TRCE,2015-09-16,175000.0,0.23,6333,27500.0,112300.0,139800.0,1967.25,CRAWL,1997.0,FRAME,C   ,3.0,3.0,0.0,2015-09-16
SINGLE FAMILY,3724  BURRUS ST,2015-09-24,335000.0,0.17,7332,28200.0,200500.0,228700.0,1998.0,PT BSMT,1934.0,STONE,C   ,4.0,3.0,0.0,2015-09-24
SINGLE FAMILY,3724 HEWLETT  DR,2016-09-29,135800.0,0.26,3131,18000.0,105600.0,123600.0,1204.0,CRAWL,1955.0,FRAME,C   ,3.0,1.0,0.0,2016-09-29
SINGLE FAMILY,3724 PARK  AVE,2016-06-28,216500.0,0.17,1126,65000.0,109200.0,174200.0,1456.0,CRAWL,1920.0,FRAME,D   ,2.0,1.0,0.0,2016-06-28
SINGLE FAMILY,3725  BAXTER AVE,2016-03-31,328000.0,0.17,7332,28200.0,208000.0,236200.0,2187.5,CRAWL,1940.0,STONE,C   ,4.0,2.0,0.0,2016-03-31
SINGLE FAMILY,3725  BURRUS ST,2016-02-19,241000.0,0.16,7332,28200.0,120900.0,149100.0,1122.0,CRAWL,1950.0,BRICK,C   ,2.0,2.0,0.0,2016-02-19
SINGLE FAMILY,3725  ELKINS AVE,2015-11-30,425000.0,0.17,1126,65000.0,244800.0,309800.0,2150.75,CRAWL,2009.0,FRAME,C   ,3.0,2.0,1.0,2015-11-30
